"Column Name","Label"
"DP04_0059MA","Annotation of Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available"
"DP04_0059EA","Annotation of Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available"
"DP04_0060E","Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP04_0060M","Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP04_0060MA","Annotation of Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP04_0060EA","Annotation of Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP04_0061E","Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP04_0061M","Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP04_0061MA","Annotation of Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP04_0061EA","Annotation of Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP04_0062E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0062M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0062MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0062EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0063E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas"
"DP04_0063M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas"
"DP04_0063MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas"
"DP04_0063EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas"
"DP04_0064E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas"
"DP04_0064M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas"
"DP04_0064MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas"
"DP04_0064EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas"
"DP04_0065E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity"
"DP04_0065M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity"
"DP04_0065MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity"
"DP04_0065EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity"
"DP04_0066E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc."
"DP04_0066M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc."
"DP04_0066MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc."
"DP04_0066EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc."
"DP04_0067E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke"
"DP04_0067EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke"
"DP04_0067M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke"
"DP04_0067MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke"
"DP04_0068E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood"
"DP04_0068M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Wood"
"DP04_0068MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Wood"
"DP04_0068EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood"
"DP04_0069E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy"
"DP04_0069M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy"
"DP04_0069MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy"
"DP04_0069EA","Annotation of Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy"
"DP04_0070E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel"
"DP04_0070M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel"
"DP04_0070MA","Annotation of Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel"
